gene	PI1	PI2	PI3	PI4	PI5	PI6	PI7	PI8	PI9	PI10	PI11	PI12	salinas1	salinas2	salinas3	salinas4	salinas5	salinas6	salinas7	salinas8	salinas9	salinas10	salinas11	salinas12
gene1	87.55155159	68.79084783	79.0691255	102.1700208	148.7321975	81.5524746	131.2499492	116.2507939	147.8296867	145.3746413	153.2268699	160.5545099	66.30513072	54.8605418	65.33230825	156.0760344	118.8990093	93.40296269	38.07251807	56.38380399	69.56318019	59.81268428	66.52514798	59.01042521
gene2	523.9750099	420.5740395	397.3107422	614.4246017	534.2903163	625.917837	771.6213449	684.9983871	827.3590302	571.3331687	504.3830575	430.9587432	597.1678928	356.4770892	549.7883168	690.8681202	810.4037937	722.273362	330.7739655	419.4560881	455.2801246	415.7919943	426.8984097	338.940115
gene3	650.5677775	365.5143014	504.623703	1189.156964	907.9222111	859.1330157	810.6006274	808.237757	1074.856808	4217.835102	3682.051004	6204.019833	312.6740648	408.3181657	386.8410798	1793.520701	365.4287704	512.7506784	383.6413782	425.6769601	597.5176098	433.3689335	694.1122516	422.7979133
gene4	405.3368471	272.5247073	242.5614691	1056.729741	538.9550102	881.1982865	524.6533037	433.3360839	714.8122229	1991.979336	931.4792295	2257.809883	221.3296465	244.7873664	281.6698061	1203.645924	475.6270001	443.7382279	216.4990975	267.1387166	336.1532099	187.2201858	335.0022678	199.3220907
gene5	648.972717	657.0266914	808.0312622	170.78957	245.9520308	201.3107326	1063.140436	1167.127942	1564.196948	44.35487591	702.2652988	0	1810.204517	1131.329033	1871.947127	529.8266332	356.9084459	631.0319792	481.3890707	674.5662167	885.459524	344.7896594	801.0222401	322.8678675
gene6	227.550603	263.6301835	246.3484451	160.111738	290.9280225	130.5778384	548.3887551	434.5500826	398.0281568	668.1472242	379.6687247	555.5907232	366.146976	366.5318399	304.2524256	762.696401	524.3538869	121.6254105	203.4582998	222.3643291	286.2189132	245.3417995	220.9173927	202.0949548
gene7	74.79829969	65.9031981	72.61792508	100.0168264	128.7978751	116.1399248	129.3642451	122.2392602	139.2238739	113.6584961	123.9630467	140.1155395	75.19636314	47.47516277	64.71013268	155.2955888	107.4273688	76.11471038	45.48300591	53.74398012	70.64383698	48.94978526	70.78148075	47.09826194
gene8	38.23841377	43.7802074	32.5561179	70.18462804	34.30695528	47.1134692	81.39579237	68.71108232	80.6340622	112.1028181	59.47641282	133.6253679	37.82953387	29.07856479	38.71483503	78.78128659	49.29153225	46.86897418	15.94760888	21.9578869	30.28978579	28.57952569	18.51656366	20.08225649
gene9	135.4522302	78.20221299	60.51884074	254.0687672	321.0873362	293.3063775	199.5621723	134.7687989	226.0230509	271.8873546	285.9142146	376.7725931	51.93933211	31.23611882	66.54075152	355.6906785	259.7124786	160.6309906	33.82127745	42.55183124	41.03858401	25.78222076	45.60749835	22.63401542
gene10	22.47387765	12.32752235	7.828256584	55.96520567	130.9772319	52.0934247	37.57384871	37.68755375	33.13082705	203.8823507	170.5380365	355.5541218	13.15552735	6.646644341	12.92722151	238.2513142	179.9334362	57.83736716	15.20175905	13.02345837	23.90746488	15.52290756	20.19658356	23.5663274
gene11	277.4643869	223.4967555	185.7984074	1070.443782	781.2207384	914.2199815	575.0867274	422.2285586	539.442548	1695.78729	1150.854615	2097.274584	184.3860376	145.6418283	212.1910846	1279.897992	874.4952118	487.7884144	179.3948745	177.7348826	234.517802	169.9666169	317.5379897	154.4068312
gene12	25.90672038	30.87447374	8.675979915	112.9607195	99.51607007	122.1491341	58.35473991	52.75794439	68.25676115	114.0833166	112.6096453	184.1502558	19.9418988	11.83352902	28.14098174	168.3056867	169.6372748	208.4803067	12.06478468	27.44691682	19.29535916	27.0574797	34.17368817	21.43149171
gene13	414.2868799	292.1086373	146.6492014	1255.605634	778.617416	1173.546103	685.1370419	533.10759	710.4573628	1389.455806	1015.591222	1705.449193	565.1199192	283.2734007	547.9587296	3758.832456	1760.081234	1058.503118	132.677904	200.9064446	266.513032	257.4877451	286.1591398	230.9006848
gene14	125.492876	115.192287	117.0078014	124.7609279	157.1027549	120.4187605	282.6559183	232.3338562	284.6912037	248.8791855	216.0102054	272.2707543	135.3556287	143.1150662	142.8609383	245.146055	193.6032684	129.7322086	95.65538879	117.2323239	170.9032285	142.0388763	134.7251466	164.6193167
gene15	423.5796344	137.6619243	117.9428444	1707.462355	1056.769434	1561.372222	562.8832158	367.8450789	727.2532714	3281.297272	2137.00276	3860.56886	156.760099	83.69605008	172.4218605	589.9896264	288.6255604	230.9001458	140.574074	181.8060378	261.8283599	153.3158062	279.5057549	151.9370674
gene16	20.74494187	5.765841157	2.560305705	112.1607203	96.85176744	104.5046847	25.88576206	23.51541987	40.1647159	116.0759395	112.5019304	219.9861683	10.61430479	9.640838054	19.49110736	176.2470555	130.8459634	241.3987207	11.44771096	18.86647869	23.62998947	24.33051887	25.13488924	20.91867431
gene17	33.92366573	44.24853024	22.53450821	61.71156822	74.03987823	52.20890954	83.19610166	78.84951542	117.4426131	58.71950083	81.45394424	107.5816719	86.69503436	44.85892267	75.69678972	90.62076154	154.9770933	108.9030801	19.51443321	35.54141072	32.08411844	37.71076262	33.06232264	27.94199397
gene18	32.78184104	34.09630241	18.0316448	26.65685792	27.68657928	34.14405733	73.49822474	71.71804526	71.86923861	151.831537	64.99341556	147.8796187	24.42079463	21.80393582	30.66856664	60.58698349	88.84994852	15.55782127	17.28436722	25.98824692	26.42164353	33.01990612	27.51782243	32.34157538
gene19	124.9140359	31.52693918	0	567.2561873	375.4840905	368.9719471	142.6867744	113.222687	151.1379709	1982.488259	1262.63403	2704.983622	60.68458855	29.43321038	72.40931641	1215.708607	645.0455016	195.7361007	69.949833	83.08100264	117.5978527	120.4174559	151.0976597	103.5567794
gene20	56.04579969	29.52077019	22.87003612	251.7142885	277.7596909	200.5824035	111.1081348	70.12804292	97.26299287	331.8120994	197.5987648	362.6250368	12.26788456	24.24218389	38.86236906	246.9911951	157.8920097	125.040856	20.56594226	24.63282119	40.69660545	31.81151769	51.95971879	35.91342913
gene21	25.41247089	6.492812827	0	62.03297768	52.93991528	52.53969238	29.17228481	33.9222706	41.59724058	516.4681	422.2941642	887.2929916	14.61572567	10.8163829	25.7328038	369.7945826	91.36111091	96.6287804	20.80522745	23.2798627	33.51635081	19.47132483	48.78210946	29.85114237
gene22	31.48236509	25.07918708	18.82003835	113.5104493	91.02920343	99.78905828	89.74411369	67.95455951	73.6620611	252.9374772	67.76204138	326.8092359	17.6255341	5.729910994	24.71040136	233.463947	232.6129	129.1842295	20.41833838	16.57186898	23.01668099	9.68176095	32.54820465	19.12798915
