"gene" "PI1" "PI2" "PI3" "PI4" "PI5" "PI6" "PI7" "PI8" "PI9" "PI10" "PI11" "PI12" "salinas1" "salinas2" "salinas3" "salinas4" "salinas5" "salinas6" "salinas7" "salinas8" "salinas9" "salinas10" "salinas11" "salinas12" "PI1" "PI2" "PI3" "PI4" "PI5" "PI6" "PI7" "PI8" "PI9" "PI10" "PI11" "PI12" "salinas1" "salinas2" "salinas3" "salinas4" "salinas5" "salinas6" "salinas7" "salinas8" "salinas9" "salinas10" "salinas11" "salinas12" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24"
"1" "gene1" 87.55155159 68.79084783 79.0691255 102.1700208 148.7321975 81.5524746 131.2499492 116.2507939 147.8296867 145.3746413 153.2268699 160.5545099 66.30513072 54.8605418 65.33230825 156.0760344 118.8990093 93.40296269 38.07251807 56.38380399 69.56318019 59.81268428 66.52514798 59.01042521 -0.240198967387759 -0.720105050305842 -0.45718271866757 0.133747148204533 1.32482569824698 -0.393657684940416 0.87762300214437 0.493938788631529 1.30173912173258 1.23893810763565 1.43980116255142 1.62724503749451 -0.783690658647784 -1.07644768468831 -0.808575834967651 1.51268389617784 0.561681166294729 -0.0905176006081373 -1.50589184687256 -1.03748204671375 -0.700348488806868 -0.949769958200449 -0.778062531751708 -0.970292056555314 -4.74540694305086 -1.40016218052819 1.63381030206622 -0.893537671813891 1.9661105248827 0.367480856400946 -1.51814900310735 -0.561617315747221 0.461201975633844 0.113912942641238 -0.920835660545214 0.0612483036013554 0.555900814815513 0.33433966739651 0.33617811722984 0.276119427785959 -0.0606337668571393 -0.217409420539497 -0.313675793726577 0.0139146233331075 0.0444003462329104 -0.0739214302746929 -0.0160786957980372 -9.15933995315754e-16
"2" "gene2" 523.9750099 420.5740395 397.3107422 614.4246017 534.2903163 625.917837 771.6213449 684.9983871 827.3590302 571.3331687 504.3830575 430.9587432 597.1678928 356.4770892 549.7883168 690.8681202 810.4037937 722.273362 330.7739655 419.4560881 455.2801246 415.7919943 426.8984097 338.940115 -0.123631722715875 -0.811748411374143 -0.966561882112604 0.478295641786964 -0.054985031538754 0.554781258759532 1.52441447394299 0.947952738114632 1.89533973019293 0.191529143650699 -0.254012988555895 -0.742639892420231 0.363455042714524 -1.23830322051092 0.0481516483553467 0.98701485995406 1.78250538105033 1.19601165089644 -1.40935334025542 -0.819188196634117 -0.580785043594143 -0.843572146638026 -0.769660753366312 -1.35500893970202 -3.74052743036487 0.592722969622645 1.82189040987515 -1.1091289614046 0.012094316424602 1.81721931825741 -3.25461365128984 -2.04398933918968 -0.091503154443212 -0.160563389690857 0.258483758113391 0.34378373329352 0.057506700763539 -0.11544762817623 0.0673553474809111 -0.543636051493648 0.288749050023724 -0.41037323553635 -0.3873818377543 -0.234277713759367 0.0937903070393549 -0.533483545224527 0.0914157396021097 -2.77555756156289e-16
"3" "gene3" 650.5677775 365.5143014 504.623703 1189.156964 907.9222111 859.1330157 810.6006274 808.237757 1074.856808 4217.835102 3682.051004 6204.019833 312.6740648 408.3181657 386.8410798 1793.520701 365.4287704 512.7506784 383.6413782 425.6769601 597.5176098 433.3689335 694.1122516 422.7979133 -0.354054247104387 -0.549430528771359 -0.454084637883184 0.0150959700551956 -0.177662950302105 -0.211103172513011 -0.244367378570773 -0.245986895158078 -0.0632456091416868 2.09095865050502 1.72373104719451 3.45229404888606 -0.585647343561891 -0.520092665706753 -0.53481310778518 0.42932820929999 -0.549489151907536 -0.448514391006792 -0.537006190323954 -0.508194909712002 -0.390414949134203 -0.502922814166512 -0.324208768448245 -0.510168214743132 -3.3437094612151 -2.13500351518369 -0.774571601350528 -0.0419642180709842 2.60274699273847 0.276934850639027 1.0975868565043 0.462355321095701 -0.294442687428153 0.309918027974465 -0.472644144968581 0.401472004504672 0.0847019762315539 0.211229901205932 0.0251874809369585 -0.139138029635305 0.10595502320902 0.130699371713414 0.110307574665555 0.105829318982103 -0.105015294192511 0.085130805444417 0.0993402390010113 1.06858966120171e-15
"4" "gene4" 405.3368471 272.5247073 242.5614691 1056.729741 538.9550102 881.1982865 524.6533037 433.3360839 714.8122229 1991.979336 931.4792295 2257.809883 221.3296465 244.7873664 281.6698061 1203.645924 475.6270001 443.7382279 216.4990975 267.1387166 336.1532099 187.2201858 335.0022678 199.3220907 -0.375241945649616 -0.617587919524312 -0.672262666523746 0.81337263043488 -0.131425198832791 0.493075545014046 -0.157521917062253 -0.324150966163385 0.189466306558579 2.51994835655077 0.584824568236041 3.0050166861129 -0.711004958703363 -0.668201010339862 -0.60090060556187 1.08145464086483 -0.246981565173566 -0.30516988716066 -0.719819394669212 -0.627415885276819 -0.501483236232509 -0.773245432233345 -0.503583392020361 -0.751162752644371 -3.74126360061891 -2.29408734961306 -0.736550510751307 -0.0874319106225372 1.65674980518106 0.188807075062192 0.376564971013093 -0.0902312979492454 -0.600875236411466 -0.185410111356867 0.469430990055933 -0.00081041305561208 0.18802374763174 -0.448141267348691 -0.433728185245897 -0.0416889318435245 -0.149024162288212 -0.164858468953387 -0.195879504174886 -0.123398801367304 -0.0521069488623087 -0.261883149641141 -0.141878184658625 4.71844785465692e-16
"5" "gene5" 648.972717 657.0266914 808.0312622 170.78957 245.9520308 201.3107326 1063.140436 1167.127942 1564.196948 44.35487591 702.2652988 0 1810.204517 1131.329033 1871.947127 529.8266332 356.9084459 631.0319792 481.3890707 674.5662167 885.459524 344.7896594 801.0222401 322.8678675 -0.124851161861864 -0.109171787718189 0.184801975468634 -1.0557719841348 -0.909446668717541 -0.996353775938689 0.681445245590543 0.883886789586723 1.65689564170467 -1.30191342622559 -0.0211018466014842 -1.3882629302033 2.13582002424642 0.814193932337711 2.25601974611256 -0.356803230849558 -0.69343814179773 -0.159777960285731 -0.451100856757726 -0.0750260646474571 0.335538323234609 -0.717030840043806 0.171156901070684 -0.759707903569101 -0.00630953660255607 3.50389156837328 1.26753828290029 1.12506994264068 1.52662492550686 0.995924661818997 -1.01232064458875 -1.94720366076502 -0.171967082131342 -0.22646525062447 -0.205768839433225 0.484870898883433 0.558239135830134 0.17222951549082 0.80333038942933 -0.394351574998769 -0.14584204230096 0.373220570426805 0.409960391731553 0.0551914671738232 0.121274256240963 -0.00913805983039712 0.141716226256544 1.52655665885959e-15
"6" "gene6" 227.550603 263.6301835 246.3484451 160.111738 290.9280225 130.5778384 548.3887551 434.5500826 398.0281568 668.1472242 379.6687247 555.5907232 366.146976 366.5318399 304.2524256 762.696401 524.3538869 121.6254105 203.4582998 222.3643291 286.2189132 245.3417995 220.9173927 202.0949548 -0.657395623562841 -0.444059959106737 -0.546245491572131 -1.05615622098554 -0.282650027489578 -1.23078779950808 1.23969462561902 0.566575689588481 0.350624472867445 1.94781684393845 0.242066624028537 1.28227928510544 0.16211360895612 0.164389278315183 -0.20386390111487 2.50687853969197 1.09757837852015 -1.28372278733428 -0.799851479208112 -0.688061644984788 -0.310494612919609 -0.552197706231274 -0.696617263815215 -0.807912828797748 -3.40598675704997 0.685692965056059 -0.249392753506832 -1.65784966967014 2.22992021790548 -1.34727508456688 -1.23695890946367 -0.833475485055418 -0.259368544860434 0.764630597096337 -0.315766379278151 0.529626518346942 0.386388406331687 -0.695220798907228 -0.589004391863047 0.127046166483743 0.116645973057245 0.0572304680963908 -0.42646646020362 -0.0437056515812948 -0.470440867652284 -0.2844755298458 -0.268749841961836 3.83026943495679e-15
"7" "gene7" 74.79829969 65.9031981 72.61792508 100.0168264 128.7978751 116.1399248 129.3642451 122.2392602 139.2238739 113.6584961 123.9630467 140.1155395 75.19636314 47.47516277 64.71013268 155.2955888 107.4273688 76.11471038 45.48300591 53.74398012 70.64383698 48.94978526 70.78148075 47.09826194 -0.474666265407894 -0.731465985557275 -0.537613223798822 0.253387319611104 1.08429016844138 0.718857794025431 1.10064115173588 0.894944329740558 1.38528657045299 0.647219467100978 0.944709685011479 1.41102876959822 -0.463174256966234 -1.26347950645591 -0.765909534388728 1.84927361398272 0.467328126831848 -0.436661764461699 -1.32099265781966 -1.08250006233608 -0.594604733845221 -1.22090746397539 -0.590630987029778 -1.2743605544899 -4.43114131132801 -1.16696302365578 2.02088683028513 -1.09025978770584 1.7157608868238 0.28767371136001 -1.86903707800949 -1.34518627449038 0.605511253685564 0.00716571772907054 0.0196917320350256 0.0142448061934213 0.468687704489937 -0.141410293345561 0.274996639843726 0.208745279905486 0.0478353176734684 0.106449915150718 -0.0193064006082337 0.355017024748849 -0.383655306170366 0.188586457939759 0.166544273578555 2.22044604925031e-16
"8" "gene8" 38.23841377 43.7802074 32.5561179 70.18462804 34.30695528 47.1134692 81.39579237 68.71108232 80.6340622 112.1028181 59.47641282 133.6253679 37.82953387 29.07856479 38.71483503 78.78128659 49.29153225 46.86897418 15.94760888 21.9578869 30.28978579 28.57952569 18.51656366 20.08225649 -0.418405217579019 -0.233119060410569 -0.608388973009199 0.649695053446082 -0.549850898222196 -0.121673685322074 1.02453282164527 0.600428039533329 0.999064883749763 2.051201654058 0.291673051777553 2.77079368709958 -0.432075843097136 -0.724658631376302 -0.40247639194017 0.937118572538544 -0.0488516064881685 -0.129848212510778 -1.16368334484479 -0.962733725968455 -0.684162268726341 -0.741343669342214 -1.07779206290513 -1.02544417210558 -4.42300665080672 -0.497166476243765 0.958266886001793 -1.24529064136901 1.77489349052355 0.492121763884211 -0.577617879751961 -0.866651770465058 -1.02633029454927 -0.418691392475053 0.292931095539396 0.111024572370861 0.0818831732523156 -0.336688934429056 -0.9544588200829 -0.126450811398544 0.133160304469239 -0.394080741996035 -0.228146204913284 -0.246175935432906 0.0610583079747654 -0.0806244707624878 0.134228318536086 6.38378239159465e-16
"9" "gene9" 135.4522302 78.20221299 60.51884074 254.0687672 321.0873362 293.3063775 199.5621723 134.7687989 226.0230509 271.8873546 285.9142146 376.7725931 51.93933211 31.23611882 66.54075152 355.6906785 259.7124786 160.6309906 33.82127745 42.55183124 41.03858401 25.78222076 45.60749835 22.63401542 -0.182081193206972 -0.659617838460087 -0.807119248460572 0.807328870072936 1.36634743757014 1.13461954531728 0.352675793249581 -0.18778186381229 0.573392568770249 0.955958143299759 1.07295967437817 1.83083202754925 -0.878683065709079 -1.05137372157738 -0.756888991562195 1.65498252978109 0.854404471794537 0.0279411152395611 -1.02981026990034 -0.956986547371395 -0.969608919221556 -1.09686604297829 -0.931498467335241 -1.12312600742715 -4.66709451228743 -2.53987201396399 0.638923470951568 -0.365718101812246 0.470623718155848 0.122147504145991 -0.861974393818368 -0.662641147974522 0.431275324280083 0.326939190797428 -0.349569562560891 -0.0153410648664522 0.564513824274084 0.0742383274223752 0.100986292375322 -0.179831391552794 -0.264040950881365 -0.267794805709937 0.0979422806397548 0.354567768852067 -0.0571871246759454 0.0372014977016508 0.0919499570566009 -1.38777878078145e-15
"10" "gene10" 22.47387765 12.32752235 7.828256584 55.96520567 130.9772319 52.0934247 37.57384871 37.68755375 33.13082705 203.8823507 170.5380365 355.5541218 13.15552735 6.646644341 12.92722151 238.2513142 179.9334362 57.83736716 15.20175905 13.02345837 23.90746488 15.52290756 20.19658356 23.5663274 -0.545378032767364 -0.655973596605595 -0.705015722525315 -0.180321596584507 0.637311641190542 -0.222524120227187 -0.380787915040886 -0.379548526843033 -0.429216978591733 1.43197952753779 1.06852554621032 3.08520618353195 -0.646948318352637 -0.717895329870895 -0.649436858558041 1.80660221562936 1.1709356724659 -0.159914982636859 -0.624644334122441 -0.648387874023296 -0.529751890835084 -0.621143806150662 -0.57020060367704 -0.533470299153286 -3.81549808900649 -2.17961126470313 -1.67400205647819 -0.429650179018894 1.11511042685841 -0.297139107220431 0.0471553467576263 0.448225993708748 0.205677345177094 0.643323572392102 -0.502591404852795 0.240981258475214 0.303998532102746 0.0816051436302863 0.228784905458409 0.499441410677424 0.00173246762599377 0.0837100312119067 0.1704944989439 0.271585324227371 -0.123947900763643 0.273913867242437 0.0823056821723804 6.10622663543836e-16
