itag3	dPC1	dPC2	dPC3	dPC4	dPC5	dPC6	overall_distance	m82.PC1	m82.PC2	m82.PC3	m82.PC4	m82.PC5	m82.PC6	penn.PC1	penn.PC2	penn.PC3	penn.PC4	penn.PC5	penn.PC6	m82.inf	m82.veg	m82.leaf	m82.root	m82.seedling	m82.stem	penn.inf	penn.veg	penn.leaf	penn.root	penn.seed	penn.stem	cluster	distance
Solyc01g066680.2.1	-0.073613825	-0.981318976	-2.13794377	-2.122547825	0.740433277	-4.57E-10	3.254636723	1.534697998	0.397472696	-1.61726565	-1.590133102	1.502440909	3.70E-12	1.608311823	1.378791672	0.52067812	0.532414723	0.762007632	4.61E-10	-0.443210872	0.079731056	-0.644883545	1.965136038	-0.654263669	-0.302509008	-0.468224879	1.765831027	-0.880518458	0.18377427	-0.880518458	0.279656497	4	0.002807195
Solyc01g103390.2.1	-1.589320456	-1.626476303	-2.121531879	0.145414124	-1.210777104	4.72E-10	3.340567115	-1.184694223	0.072365866	-1.078886842	1.042812243	-0.235647014	-4.11E-10	0.404626233	1.698842169	1.042645037	0.897398119	0.97513009	-8.83E-10	-0.34158744	-0.415223056	2.039297473	-0.390677851	-0.476586069	-0.415223056	-0.40824829	2.041241452	-0.40824829	-0.40824829	-0.40824829	-0.40824829	9	0.006708988
Solyc10g080130.1.1	0.391368698	1.682409815	-0.755511675	0.8670675	-0.872867184	8.20E-12	2.251260381	-1.250218468	0.087406999	-1.066437301	0.973292249	-0.260292869	3.68E-11	-1.641587166	-1.595002816	-0.310925626	0.106224749	0.612574315	2.86E-11	-0.367935196	-0.444670343	2.040367903	-0.39154601	-0.397448714	-0.43876764	1.109383232	-1.259808077	1.109383232	-0.244440373	0.206834162	-0.921352176	5	0.002153618
Solyc04g007050.2.1	-2.73413186	-0.860489969	-2.227863252	-0.163722875	0.695617025	4.73E-10	3.69999769	-1.170472355	0.172717566	-1.19260871	0.895639087	-0.211344195	-4.13E-10	1.563659505	1.033207535	1.035254542	1.059361962	-0.90696122	-8.86E-10	-0.449788188	-0.421529244	2.036998862	-0.280234525	-0.435658716	-0.449788188	-0.645497224	1.290994449	-0.645497224	-0.645497224	-0.645497224	1.290994449	9	0.008227732
Solyc01g106610.2.1	1.071808424	0.048499135	-1.085349511	-1.513482398	0.971409579	-1.30E-11	2.358680683	-0.047496412	0.205228911	-2.382647973	-0.698478517	0.808640195	4.72E-10	-1.119304836	0.156729776	-1.297298462	0.815003881	-0.162769384	4.85E-10	-0.645314769	-0.645314769	1.253038386	1.328220689	-0.645314769	-0.645314769	-0.461069446	-0.461069446	2.028705562	-0.184427779	-0.461069446	-0.461069446	7	0.000847302
Solyc09g007940.2.1	1.609769734	-0.478200463	-1.648229465	2.047542818	-0.16946091	9.36E-10	3.12375467	-0.576877921	-0.927073941	-0.997118834	1.257281176	-0.605999405	9.39E-10	-2.186647655	-0.448873478	0.651110631	-0.790261642	-0.436538495	3.38E-12	0.225081549	-0.932480705	1.768497888	-0.450163099	-0.836017184	0.225081549	0.094238121	-0.964715096	0.631885664	-0.654219554	1.636910708	-0.744099843	2	0.006722084
Solyc04g015210.2.1	-2.53222803	-0.84077807	0.300401956	2.343580212	-2.089379575	3.30E-11	4.131247162	-1.231764292	0.097362663	-1.060735406	0.975013696	-0.327804539	-4.12E-10	1.300463738	0.938140733	-1.361137362	-1.368566516	1.761575036	-4.45E-10	-0.397489453	-0.455118036	2.040642881	-0.406355389	-0.388623517	-0.393056485	-0.597614304	0.597614301	-0.597614304	1.792842916	-0.597614304	-0.597614304	8	0.010340361
Solyc09g018170.2.1	-1.860387051	-0.487822409	0.105154808	-0.280151087	0.695415122	-4.46E-10	2.066919215	-1.362325482	0.674754847	-0.898653675	0.888681854	-0.244045894	-4.16E-10	0.498061569	1.162577256	-1.003808483	1.168832941	-0.939461016	2.97E-11	-0.711564839	-0.06955145	1.983201884	-0.441243412	-0.191196092	-0.56964609	-1.263332185	0.459088884	1.316948406	-0.197709812	-0.985198044	0.670202751	9	0.002098879
Solyc09g092720.2.1	-0.155684599	-1.580816365	-0.447973032	-0.724127474	2.694551631	9.05E-10	3.241738269	1.456374555	-2.000130827	-0.103733244	-0.345071286	0.652582365	1.60E-11	1.612059154	-0.419314462	0.344239788	0.379056188	-2.041969266	-8.89E-10	1.382334282	-0.847418776	-0.965663256	0.655975332	-0.813634639	0.588407057	-0.40824829	-0.40824829	-0.40824829	-0.40824829	-0.40824829	2.041241452	4	0.010036755
Solyc08g029000.2.1	1.819162402	-0.476065456	-1.168418401	-1.964091441	0.917811187	-9.15E-10	3.098584239	0.507471146	0.176710711	-2.381193649	-1.338751389	1.136488739	-4.34E-10	-1.311691256	0.652776167	-1.212775248	0.625340052	0.218677552	4.81E-10	-0.600940362	-0.60336677	0.585573112	1.798777073	-0.583955506	-0.596087546	-0.648815998	-0.092688	1.946447994	-0.092688	-0.278063999	-0.834191998	7	0.00429394
