"type","genotype","N","mean","sd","se","gene"
"1","Ambr","tf2",4,5.31274267442183,2.85107718552195,1.42553859276098,"Solyc00g023580.1.1"
"2","Aother","tf2",4,35.9694835347319,48.5867049286391,24.2933524643195,"Solyc00g023580.1.1"
"3","Bmbr","tf2",3,2.75373614294146,2.04028885168507,1.17796131774497,"Solyc00g023580.1.1"
"4","Bother","tf2",4,0.27109157661712,0.54218315323424,0.27109157661712,"Solyc00g023580.1.1"
"5","Cmbr","tf2",4,35.4344341132485,68.8719174096585,34.4359587048292,"Solyc00g023580.1.1"
"6","Cother","tf2",4,2.18366988343944,1.97755570843459,0.988777854217294,"Solyc00g023580.1.1"
"7","Ambr","tf2",4,9.54748390122682,14.4368818856597,7.21844094282986,"Solyc00g166690.1.1"
"8","Aother","tf2",4,23.6503979213435,22.600953203665,11.3004766018325,"Solyc00g166690.1.1"
"9","Bmbr","tf2",3,246.234015364909,426.489825163718,246.234015364909,"Solyc00g166690.1.1"
"10","Bother","tf2",4,3.01745387949165,2.36953040722499,1.18476520361249,"Solyc00g166690.1.1"
"11","Cmbr","tf2",4,6.59019052519657,6.03495980049384,3.01747990024692,"Solyc00g166690.1.1"
"12","Cother","tf2",4,0.651155388060855,1.30231077612171,0.651155388060855,"Solyc00g166690.1.1"
"13","Ambr","tf2",4,13.2577868080888,5.36765579249747,2.68382789624874,"Solyc00g323130.2.1"
"14","Aother","tf2",4,6.53127952256974,8.37162615951622,4.18581307975811,"Solyc00g323130.2.1"
"15","Bmbr","tf2",3,3.34847053052498,1.90159669378165,1.09788736304494,"Solyc00g323130.2.1"
"16","Bother","tf2",4,44.6725022778851,12.3955706859478,6.19778534297388,"Solyc00g323130.2.1"
"17","Cmbr","tf2",4,8.40971260064704,8.87456704962284,4.43728352481142,"Solyc00g323130.2.1"
"18","Cother","tf2",4,52.5701390448234,44.1205025878235,22.0602512939117,"Solyc00g323130.2.1"
"19","Ambr","tf2",4,2.83812624628774,3.22253687351152,1.61126843675576,"Solyc01g014500.1.1"
"20","Aother","tf2",4,13.7314526569414,17.1777883263693,8.58889416318464,"Solyc01g014500.1.1"
"21","Bmbr","tf2",3,203.175108556263,351.90961085277,203.175108556263,"Solyc01g014500.1.1"
"22","Bother","tf2",4,1.38337199238053,1.04152587775356,0.52076293887678,"Solyc01g014500.1.1"
"23","Cmbr","tf2",4,9.42512927161516,17.3737286240104,8.6868643120052,"Solyc01g014500.1.1"
"24","Cother","tf2",4,0.885213554843608,1.06729945883575,0.533649729417874,"Solyc01g014500.1.1"
"25","Ambr","tf2",4,31.2022830095596,8.79251178441562,4.39625589220781,"Solyc01g020200.1.1"
"26","Aother","tf2",4,67.869707314699,113.952328860653,56.9761644303264,"Solyc01g020200.1.1"
"27","Bmbr","tf2",3,119.102863889042,189.746815475141,109.550374992447,"Solyc01g020200.1.1"
"28","Bother","tf2",4,22.3178945653994,17.9954492788188,8.99772463940942,"Solyc01g020200.1.1"
"29","Cmbr","tf2",4,13.1081292682708,5.59565877770516,2.79782938885258,"Solyc01g020200.1.1"
"30","Cother","tf2",4,10.1980937939269,5.19368173570836,2.59684086785418,"Solyc01g020200.1.1"
"31","Ambr","tf2",4,27.7724099563646,41.1638059304423,20.5819029652211,"Solyc01g022780.1.1"
"32","Aother","tf2",4,25.4751215267674,28.3518286417595,14.1759143208797,"Solyc01g022780.1.1"
"33","Bmbr","tf2",3,522.92714374966,905.736381631285,522.92714374966,"Solyc01g022780.1.1"
"34","Bother","tf2",4,6.6364992007881,8.9499431208106,4.4749715604053,"Solyc01g022780.1.1"
"35","Cmbr","tf2",4,16.7491639968416,24.4341784334224,12.2170892167112,"Solyc01g022780.1.1"
"36","Cother","tf2",4,2.40447967035822,4.00161035150149,2.00080517575075,"Solyc01g022780.1.1"
"37","Ambr","tf2",4,134.638291781477,244.330150578419,122.16507528921,"Solyc01g028970.1.1"
"38","Aother","tf2",4,59.6429485171573,56.4918826652952,28.2459413326476,"Solyc01g028970.1.1"
"39","Bmbr","tf2",3,1772.63666574106,3070.296768423,1772.63666574106,"Solyc01g028970.1.1"
"40","Bother","tf2",4,13.439372321693,10.830247197,5.41512359850001,"Solyc01g028970.1.1"
"41","Cmbr","tf2",4,44.330549460475,74.5851919494736,37.2925959747368,"Solyc01g028970.1.1"
"42","Cother","tf2",4,4.52189616153013,7.07423161615842,3.53711580807921,"Solyc01g028970.1.1"
"43","Ambr","tf2",4,38.2849971339448,58.4944555326924,29.2472277663462,"Solyc01g049700.2.1"
"44","Aother","tf2",4,27.016484858926,31.9150041500466,15.9575020750233,"Solyc01g049700.2.1"
"45","Bmbr","tf2",3,456.790881019867,791.185014360559,456.790881019867,"Solyc01g049700.2.1"
"46","Bother","tf2",4,12.9577437394555,9.41258416420027,4.70629208210013,"Solyc01g049700.2.1"
"47","Cmbr","tf2",4,13.2352178187707,15.7111268468584,7.85556342342918,"Solyc01g049700.2.1"
"48","Cother","tf2",4,0.321266484860967,0.642532969721935,0.321266484860967,"Solyc01g049700.2.1"
"49","Ambr","tf2",4,7.4038464625201,3.57575450639452,1.78787725319726,"Solyc01g066440.2.1"
"50","Aother","tf2",4,10.1053279798635,13.3625292124519,6.68126460622596,"Solyc01g066440.2.1"
"51","Bmbr","tf2",3,3.14814303409119,4.45769155438027,2.57364941888577,"Solyc01g066440.2.1"
"52","Bother","tf2",4,0.853393106456834,0.867930177371543,0.433965088685771,"Solyc01g066440.2.1"
"53","Cmbr","tf2",4,3.73257625661893,3.41537773918237,1.70768886959119,"Solyc01g066440.2.1"
"54","Cother","tf2",4,0.381363968360946,0.35814263920133,0.179071319600665,"Solyc01g066440.2.1"
"55","Ambr","tf2",4,1.22967499064305,2.2386229299313,1.11931146496565,"Solyc01g080580.2.1"
"56","Aother","tf2",4,1.33005100464344,2.15710993615513,1.07855496807757,"Solyc01g080580.2.1"
"57","Bmbr","tf2",3,1.03381413500494,0.844238505904931,0.487421328644459,"Solyc01g080580.2.1"
"58","Bother","tf2",4,15.7027041504674,3.96374417590013,1.98187208795006,"Solyc01g080580.2.1"
"59","Cmbr","tf2",4,3.4457109360907,5.7993430120368,2.8996715060184,"Solyc01g080580.2.1"
"60","Cother","tf2",4,17.1224650894851,0.827221836597937,0.413610918298969,"Solyc01g080580.2.1"
"61","Ambr","tf2",4,1.06194874548836,1.23685750956657,0.618428754783285,"Solyc01g087050.2.1"
"62","Aother","tf2",4,1.38777878078145e-17,0,0,"Solyc01g087050.2.1"
"63","Bmbr","tf2",3,3.27783654550854,1.84921294085059,1.06764358918903,"Solyc01g087050.2.1"
"64","Bother","tf2",4,4.21307568618347,1.98334770402973,0.991673852014864,"Solyc01g087050.2.1"
"65","Cmbr","tf2",4,48.0926449502353,16.8617402669257,8.43087013346284,"Solyc01g087050.2.1"
"66","Cother","tf2",4,17.0571749055019,13.5741324028987,6.78706620144935,"Solyc01g087050.2.1"
"67","Ambr","tf2",4,4.07480279059044,2.5580122804019,1.27900614020095,"Solyc01g094650.2.1"
"68","Aother","tf2",4,20.1076659272325,25.9829940874208,12.9914970437104,"Solyc01g094650.2.1"
"69","Bmbr","tf2",3,7.52704008923769,9.79170213624448,5.65324186418538,"Solyc01g094650.2.1"
"70","Bother","tf2",4,2.07241820657044,1.70407420891875,0.852037104459375,"Solyc01g094650.2.1"
"71","Cmbr","tf2",4,1.54911110423028,2.01327964512129,1.00663982256064,"Solyc01g094650.2.1"
"72","Cother","tf2",4,1.22403421992232,1.29905447062275,0.649527235311375,"Solyc01g094650.2.1"
"73","Ambr","tf2",4,1.00972415903088,1.25758619549628,0.628793097748138,"Solyc01g096260.2.1"
"74","Aother","tf2",4,1.06309040878765,1.72379393565825,0.861896967829127,"Solyc01g096260.2.1"
"75","Bmbr","tf2",3,0.396756661343329,0.554914482278524,0.320380025720728,"Solyc01g096260.2.1"
"76","Bother","tf2",4,18.6036563540721,7.20333740370033,3.60166870185017,"Solyc01g096260.2.1"
"77","Cmbr","tf2",4,8.96115465953503,16.6137104647693,8.30685523238463,"Solyc01g096260.2.1"
"78","Cother","tf2",4,20.5891838270791,18.0626181079482,9.03130905397408,"Solyc01g096260.2.1"
"79","Ambr","tf2",4,2.32010212359967,2.26803038292618,1.13401519146309,"Solyc01g098190.2.1"
"80","Aother","tf2",4,0.264672936355304,0.428757041987645,0.214378520993822,"Solyc01g098190.2.1"
"81","Bmbr","tf2",3,1.26506742217311,1.48270539883625,0.856040361147019,"Solyc01g098190.2.1"
"82","Bother","tf2",4,3.79515462897709,4.56795576321744,2.28397788160872,"Solyc01g098190.2.1"
"83","Cmbr","tf2",4,60.8434158829555,116.303306542115,58.1516532710575,"Solyc01g098190.2.1"
"84","Cother","tf2",4,23.9009258342455,17.3336818032898,8.66684090164489,"Solyc01g098190.2.1"
"85","Ambr","tf2",4,1.38777878078145e-17,0,0,"Solyc01g100510.2.1"
"86","Aother","tf2",4,1.38777878078145e-17,0,0,"Solyc01g100510.2.1"
"87","Bmbr","tf2",3,0.82968068388422,1.43704909854596,0.82968068388422,"Solyc01g100510.2.1"
"88","Bother","tf2",4,2.05253055481043,2.48796876170866,1.24398438085433,"Solyc01g100510.2.1"
"89","Cmbr","tf2",4,3.03403069470352,5.93126681105447,2.96563340552724,"Solyc01g100510.2.1"
"90","Cother","tf2",4,11.8132924732719,1.60864734772921,0.804323673864605,"Solyc01g100510.2.1"
"91","Ambr","tf2",4,1.59998933646693,3.19997867293386,1.59998933646693,"Solyc01g102340.2.1"
"92","Aother","tf2",4,1.38777878078145e-17,0,0,"Solyc01g102340.2.1"
"93","Bmbr","tf2",3,1.09939813388124,0.621984913600298,0.359103157299018,"Solyc01g102340.2.1"
"94","Bother","tf2",4,9.60442709479857,1.28126347725206,0.640631738626032,"Solyc01g102340.2.1"
"95","Cmbr","tf2",4,9.41750983985475,1.35791453854206,0.67895726927103,"Solyc01g102340.2.1"
"96","Cother","tf2",4,21.8727639533783,15.3606155815619,7.68030779078097,"Solyc01g102340.2.1"
"97","Ambr","tf2",4,6.40245142561963,7.34221237880959,3.67110618940479,"Solyc01g105680.2.1"
"98","Aother","tf2",4,1.34040622553684,2.17774732358895,1.08887366179447,"Solyc01g105680.2.1"
"99","Bmbr","tf2",3,2.35351984709894,1.51736681568111,0.876052139492896,"Solyc01g105680.2.1"
"100","Bother","tf2",4,23.3978264165786,7.78928683964204,3.89464341982102,"Solyc01g105680.2.1"
"101","Cmbr","tf2",4,14.0811899190089,3.99351370105558,1.99675685052779,"Solyc01g105680.2.1"
"102","Cother","tf2",4,20.654029233658,9.96736806431728,4.98368403215864,"Solyc01g105680.2.1"
"103","Ambr","tf2",4,1.18271822194242,1.41432851784049,0.707164258920244,"Solyc01g105690.2.1"
"104","Aother","tf2",4,72.2342924205951,105.37612817654,52.6880640882702,"Solyc01g105690.2.1"
"105","Bmbr","tf2",3,0.186796362197332,0.257620771326264,0.148737421674058,"Solyc01g105690.2.1"
"106","Bother","tf2",4,5.02137788708541,3.40092758080234,1.70046379040117,"Solyc01g105690.2.1"
"107","Cmbr","tf2",4,0.936196885866016,0.687225023514765,0.343612511757383,"Solyc01g105690.2.1"
"108","Cother","tf2",4,3.92997049164995,5.15006557889836,2.57503278944918,"Solyc01g105690.2.1"
"109","Ambr","tf2",4,16.9133216983256,2.1006254882585,1.05031274412925,"Solyc01g106910.2.1"
"110","Aother","tf2",4,6.30603744684474,5.08991340695155,2.54495670347577,"Solyc01g106910.2.1"
"111","Bmbr","tf2",3,27.0027017935568,28.3529650153153,16.3695919839163,"Solyc01g106910.2.1"
"112","Bother","tf2",4,54.8508403710054,12.4848326716135,6.24241633580677,"Solyc01g106910.2.1"
"113","Cmbr","tf2",4,25.1791544756221,10.8318863827806,5.41594319139029,"Solyc01g106910.2.1"
"114","Cother","tf2",4,66.1229742831088,26.1168557385528,13.0584278692764,"Solyc01g106910.2.1"
"115","Ambr","tf2",4,3.38693774905436,2.95938683848978,1.47969341924489,"Solyc01g107430.2.1"
"116","Aother","tf2",4,0.775943875409919,0.733815090197727,0.366907545098864,"Solyc01g107430.2.1"
"117","Bmbr","tf2",3,1.37240384197266,0.994036247534745,0.573907095098431,"Solyc01g107430.2.1"
"118","Bother","tf2",4,11.8223505764602,8.76815888907011,4.38407944453505,"Solyc01g107430.2.1"
"119","Cmbr","tf2",4,4.24948247395507,4.29006344357917,2.14503172178958,"Solyc01g107430.2.1"
"120","Cother","tf2",4,10.6065240842706,6.79476353071733,3.39738176535867,"Solyc01g107430.2.1"
"121","Ambr","tf2",4,4.0344584844023,1.85359259808095,0.926796299040473,"Solyc01g108000.2.1"
"122","Aother","tf2",4,0.777528112937513,0.742593004810329,0.371296502405164,"Solyc01g108000.2.1"
"123","Bmbr","tf2",3,4.87806966273726,2.54983124660569,1.47214575661591,"Solyc01g108000.2.1"
"124","Bother","tf2",4,5.45444732963389,6.25165483908099,3.12582741954049,"Solyc01g108000.2.1"
"125","Cmbr","tf2",4,5.6049530465408,6.94525929133507,3.47262964566753,"Solyc01g108000.2.1"
"126","Cother","tf2",4,17.4209178443693,16.8395282731166,8.41976413655832,"Solyc01g108000.2.1"
"127","Ambr","tf2",4,6.37252978196554,4.10833497196909,2.05416748598454,"Solyc01g109650.2.1"
"128","Aother","tf2",4,89.3325680323973,131.063903886493,65.5319519432465,"Solyc01g109650.2.1"
"129","Bmbr","tf2",3,8.5155129583754,6.46667196429541,3.73353479934696,"Solyc01g109650.2.1"
"130","Bother","tf2",4,7.75391342856807,4.58267834151454,2.29133917075727,"Solyc01g109650.2.1"
"131","Cmbr","tf2",4,10.2320819880824,5.2700699650836,2.6350349825418,"Solyc01g109650.2.1"
"132","Cother","tf2",4,6.37103641007462,4.82845495422648,2.41422747711324,"Solyc01g109650.2.1"
"133","Ambr","tf2",4,0.340639571309291,0.153075710874772,0.0765378554373862,"Solyc01g111340.2.1"
"134","Aother","tf2",4,1.38777878078145e-17,0,0,"Solyc01g111340.2.1"
"135","Bmbr","tf2",3,3.63711919640791,4.96601096720935,2.86712776871695,"Solyc01g111340.2.1"
"136","Bother","tf2",4,3.00952482628982,3.68801042761688,1.84400521380844,"Solyc01g111340.2.1"
"137","Cmbr","tf2",4,3.39879931114041,6.32253776945407,3.16126888472703,"Solyc01g111340.2.1"
"138","Cother","tf2",4,13.7438724754034,10.6603614814898,5.33018074074492,"Solyc01g111340.2.1"
"139","Ambr","tf2",4,8.76139385217738,10.674867922081,5.33743396104048,"Solyc02g063030.2.1"
"140","Aother","tf2",4,11.5803215547613,10.4479602526622,5.2239801263311,"Solyc02g063030.2.1"
"141","Bmbr","tf2",3,8.4629954062938,5.44518691095377,3.14378012882699,"Solyc02g063030.2.1"
"142","Bother","tf2",4,43.1968912590479,12.9326216692275,6.46631083461377,"Solyc02g063030.2.1"
"143","Cmbr","tf2",4,21.6569629552931,25.1532684916733,12.5766342458367,"Solyc02g063030.2.1"
"144","Cother","tf2",4,85.9206366986865,35.9220676692618,17.9610338346309,"Solyc02g063030.2.1"
"145","Ambr","tf2",4,29.8888896067184,20.7826568866593,10.3913284433296,"Solyc02g065290.1.1"
"146","Aother","tf2",4,29.0548194519951,22.9214325884666,11.4607162942333,"Solyc02g065290.1.1"
"147","Bmbr","tf2",3,20.5355547188683,11.4617834294598,6.61746374839183,"Solyc02g065290.1.1"
"148","Bother","tf2",4,5.60917483366821,5.74944759388835,2.87472379694418,"Solyc02g065290.1.1"
"149","Cmbr","tf2",4,6.26617337372155,9.84022743390207,4.92011371695104,"Solyc02g065290.1.1"
"150","Cother","tf2",4,1.34772245700268,1.68017596914222,0.840087984571112,"Solyc02g065290.1.1"
"151","Ambr","tf2",4,7.8991272619867,10.8508312858269,5.42541564291346,"Solyc02g068900.2.1"
"152","Aother","tf2",4,1.38777878078145e-17,0,0,"Solyc02g068900.2.1"
"153","Bmbr","tf2",3,1.43815890943019,1.43665949944366,0.829455748737632,"Solyc02g068900.2.1"
"154","Bother","tf2",4,8.95470645976929,6.37840360444548,3.18920180222274,"Solyc02g068900.2.1"
"155","Cmbr","tf2",4,6.06148174860792,4.32593374379329,2.16296687189665,"Solyc02g068900.2.1"
"156","Cother","tf2",4,9.03246835454692,2.6370793591945,1.31853967959725,"Solyc02g068900.2.1"
"157","Ambr","tf2",4,3.69521937946734,7.21815109035922,3.60907554517961,"Solyc02g071710.2.1"
"158","Aother","tf2",4,9.49783211796782,11.4698594620204,5.73492973101021,"Solyc02g071710.2.1"
"159","Bmbr","tf2",3,5.06248101745985,2.8220128438973,1.62928987508069,"Solyc02g071710.2.1"
"160","Bother","tf2",4,96.6298082376123,16.8143677492909,8.40718387464545,"Solyc02g071710.2.1"
"161","Cmbr","tf2",4,22.3279409359223,38.0590092364905,19.0295046182452,"Solyc02g071710.2.1"
"162","Cother","tf2",4,183.989036925507,112.06055198404,56.0302759920199,"Solyc02g071710.2.1"
"163","Ambr","tf2",4,31.4803013639718,62.9606027279435,31.4803013639718,"Solyc02g072440.2.1"
"164","Aother","tf2",4,0.802496243105478,1.30316565364261,0.651582826821307,"Solyc02g072440.2.1"
"165","Bmbr","tf2",3,2.30292494462765,1.66261823116522,0.959913083322821,"Solyc02g072440.2.1"
"166","Bother","tf2",4,3.10349141617083,0.940947527164219,0.47047376358211,"Solyc02g072440.2.1"
"167","Cmbr","tf2",4,0.087375555440301,0.160605394194797,0.0803026970973983,"Solyc02g072440.2.1"
"168","Cother","tf2",4,15.7569880523059,23.9729720694526,11.9864860347263,"Solyc02g072440.2.1"
"169","Ambr","tf2",4,10.5113136432813,5.07650551225323,2.53825275612662,"Solyc02g077250.2.1"
"170","Aother","tf2",4,12.4820048952572,6.43746921499907,3.21873460749953,"Solyc02g077250.2.1"
"171","Bmbr","tf2",3,4.99166738103093,4.38419983236944,2.53121895339961,"Solyc02g077250.2.1"
"172","Bother","tf2",4,2.8224405502006,1.64100768238608,0.820503841193042,"Solyc02g077250.2.1"
"173","Cmbr","tf2",4,7.10653323675296,2.00491950569858,1.00245975284929,"Solyc02g077250.2.1"
"174","Cother","tf2",4,0.38447008235485,0.7689401647097,0.38447008235485,"Solyc02g077250.2.1"
"175","Ambr","tf2",4,2.85475864182748,2.11242831633987,1.05621415816993,"Solyc02g081270.2.1"
"176","Aother","tf2",4,0.262280771670524,0.42399015783687,0.211995078918435,"Solyc02g081270.2.1"
"177","Bmbr","tf2",3,2.5533397150601,1.77111709848539,1.02255493357689,"Solyc02g081270.2.1"
"178","Bother","tf2",4,11.784118133787,6.81025026046219,3.4051251302311,"Solyc02g081270.2.1"
"179","Cmbr","tf2",4,8.41592223284217,8.3217481207973,4.16087406039865,"Solyc02g081270.2.1"
"180","Cother","tf2",4,11.9499417068639,6.4304230340417,3.21521151702085,"Solyc02g081270.2.1"
"181","Ambr","tf2",4,8.24998995489153,5.455275427231,2.7276377136155,"Solyc02g082510.1.1"
"182","Aother","tf2",4,1.96271728075182,1.16798631526086,0.583993157630431,"Solyc02g082510.1.1"
"183","Bmbr","tf2",3,6.40928064567564,4.17763902483426,2.41196101556515,"Solyc02g082510.1.1"
"184","Bother","tf2",4,21.4590718882981,3.04369717009386,1.52184858504693,"Solyc02g082510.1.1"
"185","Cmbr","tf2",4,12.0441357717539,9.16159188074466,4.58079594037233,"Solyc02g082510.1.1"
"186","Cother","tf2",4,35.1541651615165,41.3400452856616,20.6700226428308,"Solyc02g082510.1.1"
"187","Ambr","tf2",4,2.85078888455254,4.28735445981831,2.14367722990915,"Solyc02g086460.2.1"
"188","Aother","tf2",4,0.796117154398445,1.29045273369631,0.645226366848154,"Solyc02g086460.2.1"
"189","Bmbr","tf2",3,2.75742213429005,1.26739779864428,0.731732460217613,"Solyc02g086460.2.1"
"190","Bother","tf2",4,57.6105173441081,74.8782503629244,37.4391251814622,"Solyc02g086460.2.1"
"191","Cmbr","tf2",4,5.23106099817845,10.4621219963569,5.23106099817845,"Solyc02g086460.2.1"
"192","Cother","tf2",4,46.7176223753154,43.0874690483244,21.5437345241622,"Solyc02g086460.2.1"
"193","Ambr","tf2",4,86.3320688306002,28.497684840488,14.248842420244,"Solyc02g089020.1.1"
"194","Aother","tf2",4,29.0979657541774,22.8397823121075,11.4198911560537,"Solyc02g089020.1.1"
"195","Bmbr","tf2",3,41.989984929954,14.1253405796572,8.15526918606025,"Solyc02g089020.1.1"
"196","Bother","tf2",4,15.6772890329649,9.0384044957961,4.51920224789805,"Solyc02g089020.1.1"
"197","Cmbr","tf2",4,27.8270972717652,22.2613862103209,11.1306931051604,"Solyc02g089020.1.1"
"198","Cother","tf2",4,0.885159663693862,1.05773714552528,0.528868572762639,"Solyc02g089020.1.1"
"199","Ambr","tf2",4,3.90377271706554,3.92225165401188,1.96112582700594,"Solyc03g006900.1.1"
"200","Aother","tf2",4,69.2862163873492,86.2740852442618,43.1370426221309,"Solyc03g006900.1.1"
"201","Bmbr","tf2",3,29.7738916428349,16.7487241684977,9.66988040726492,"Solyc03g006900.1.1"
"202","Bother","tf2",4,14.0585647490067,2.64910220766864,1.32455110383432,"Solyc03g006900.1.1"
"203","Cmbr","tf2",4,9.06607852322082,12.2505233317479,6.12526166587395,"Solyc03g006900.1.1"
"204","Cother","tf2",4,5.57673941391001,5.86817623145457,2.93408811572729,"Solyc03g006900.1.1"
"205","Ambr","tf2",4,27.131765722749,11.0050495099034,5.50252475495171,"Solyc03g007410.2.1"
"206","Aother","tf2",4,65.3750777938596,77.461578584793,38.7307892923965,"Solyc03g007410.2.1"
"207","Bmbr","tf2",3,10.6773160788477,7.67936894337139,4.43368572666192,"Solyc03g007410.2.1"
"208","Bother","tf2",4,16.5954539210005,8.06736558513539,4.03368279256769,"Solyc03g007410.2.1"
"209","Cmbr","tf2",4,2.18871600950713,3.25260378027224,1.62630189013612,"Solyc03g007410.2.1"
"210","Cother","tf2",4,10.8013848078994,4.30716724198035,2.15358362099017,"Solyc03g007410.2.1"
"211","Ambr","tf2",4,4.28080064873239,2.44610271251975,1.22305135625988,"Solyc03g025700.1.1"
"212","Aother","tf2",4,15.3155923232696,22.0021090805272,11.0010545402636,"Solyc03g025700.1.1"
"213","Bmbr","tf2",3,3.21344478653168,2.11610876706428,1.22173596629909,"Solyc03g025700.1.1"
"214","Bother","tf2",4,4.88808274052931,0.671087855711095,0.335543927855548,"Solyc03g025700.1.1"
"215","Cmbr","tf2",4,3.61962135285205,3.09574773793606,1.54787386896803,"Solyc03g025700.1.1"
"216","Cother","tf2",4,1.32029092625965,1.68250215008528,0.841251075042638,"Solyc03g025700.1.1"
"217","Ambr","tf2",4,1.94486183584438,1.0894638392481,0.544731919624048,"Solyc03g026080.2.1"
"218","Aother","tf2",4,1.38777878078145e-17,0,0,"Solyc03g026080.2.1"
"219","Bmbr","tf2",3,0.396756661343329,0.554914482278524,0.320380025720728,"Solyc03g026080.2.1"
"220","Bother","tf2",4,6.90178855055532,3.93791368893479,1.96895684446739,"Solyc03g026080.2.1"
"221","Cmbr","tf2",4,8.00939963435829,6.23103065061787,3.11551532530893,"Solyc03g026080.2.1"
"222","Cother","tf2",4,7.88367579222609,5.97440004934482,2.98720002467241,"Solyc03g026080.2.1"
"223","Ambr","tf2",4,6.91729981678523,4.33289426329918,2.16644713164959,"Solyc03g098340.2.1"
"224","Aother","tf2",4,28.006198562232,42.8670046113668,21.4335023056834,"Solyc03g098340.2.1"
"225","Bmbr","tf2",3,9.09469079493234,5.68875867667698,3.28440635333427,"Solyc03g098340.2.1"
"226","Bother","tf2",4,6.14055575807132,4.43676095919218,2.21838047959609,"Solyc03g098340.2.1"
"227","Cmbr","tf2",4,2.29424932254318,1.55560429678303,0.777802148391515,"Solyc03g098340.2.1"
"228","Cother","tf2",4,5.12243030559477,4.22156736303676,2.11078368151838,"Solyc03g098340.2.1"
"229","Ambr","tf2",4,419.82442993123,189.144763784824,94.5723818924119,"Solyc03g098780.1.1"
"230","Aother","tf2",4,448.761423052062,562.422090660673,281.211045330337,"Solyc03g098780.1.1"
"231","Bmbr","tf2",3,41.5085384135507,14.3370115385744,8.27747747117071,"Solyc03g098780.1.1"
"232","Bother","tf2",4,21.1689809704834,9.98903064567411,4.99451532283705,"Solyc03g098780.1.1"
"233","Cmbr","tf2",4,43.1573814525586,84.8721766695176,42.4360883347588,"Solyc03g098780.1.1"
