"","ITAG","cluster"
"1","Solyc00g005060.1.1",1
"2","Solyc00g005070.1.1",1
"3","Solyc00g005430.1.1",3
"4","Solyc00g005840.2.1",3
"5","Solyc00g005880.1.1",1
"6","Solyc00g006470.1.1",4
"7","Solyc00g006670.2.1",4
"8","Solyc00g006680.1.1",4
"9","Solyc00g006690.2.1",4
"10","Solyc00g006840.2.1",3
"11","Solyc00g006900.1.1",4
"12","Solyc00g007130.2.1",3
"13","Solyc00g007140.1.1",1
"14","Solyc00g007200.2.1",6
"15","Solyc00g007300.2.1",4
"16","Solyc00g007590.1.1",6
"17","Solyc00g008580.1.1",4
"18","Solyc00g009060.2.1",5
"19","Solyc00g009130.2.1",1
"20","Solyc00g009760.2.1",4
"21","Solyc00g010530.1.1",4
"22","Solyc00g010770.1.1",1
"23","Solyc00g011150.1.1",4
"24","Solyc00g011160.1.1",4
"25","Solyc00g011170.1.1",4
"26","Solyc00g011880.2.1",6
"27","Solyc00g012430.1.1",4
"28","Solyc00g012440.1.1",4
"29","Solyc00g013160.1.1",4
"30","Solyc00g014800.1.1",1
"31","Solyc00g015600.1.1",1
"32","Solyc00g019970.2.1",4
"33","Solyc00g019990.1.1",4
"34","Solyc00g020000.1.1",1
"35","Solyc00g020010.1.1",4
"36","Solyc00g021650.1.1",4
"37","Solyc00g022070.1.1",1
"38","Solyc00g023570.1.1",4
"39","Solyc00g023580.1.1",6
"40","Solyc00g023700.2.1",1
"41","Solyc00g023710.1.1",1
"42","Solyc00g026160.2.1",1
"43","Solyc00g036520.1.1",1
"44","Solyc00g042640.1.1",1
"45","Solyc00g042840.1.1",1
"46","Solyc00g047190.1.1",1
"47","Solyc00g056680.1.1",4
"48","Solyc00g068970.2.1",4
"49","Solyc00g072100.2.1",2
"50","Solyc00g085070.2.1",2
"51","Solyc00g093300.1.1",5
"52","Solyc00g094520.1.1",4
"53","Solyc00g094550.1.1",1
"54","Solyc00g095760.1.1",1
"55","Solyc00g096460.1.1",5
"56","Solyc00g098560.2.1",6
"57","Solyc00g102000.1.1",4
"58","Solyc00g105750.1.1",1
"59","Solyc00g112180.1.1",1
"60","Solyc00g112190.2.1",1
"61","Solyc00g118680.2.1",1
"62","Solyc00g121730.1.1",1
"63","Solyc00g126000.1.1",4
"64","Solyc00g127660.2.1",4
"65","Solyc00g131710.1.1",1
"66","Solyc00g142160.1.1",5
"67","Solyc00g164680.1.1",3
"68","Solyc00g181240.1.1",5
"69","Solyc00g187050.2.1",4
"70","Solyc00g195360.1.1",1
"71","Solyc00g201160.2.1",6
"72","Solyc00g206460.1.1",1
"73","Solyc00g209460.1.1",2
"74","Solyc00g212260.1.1",1
"75","Solyc00g227860.1.1",2
"76","Solyc00g245200.1.1",4
"77","Solyc00g272810.1.1",1
"78","Solyc00g277510.1.1",2
"79","Solyc00g281110.1.1",1
"80","Solyc00g282510.1.1",4
"81","Solyc00g311230.2.1",6
"82","Solyc00g313030.1.1",1
"83","Solyc00g323130.2.1",2
"84","Solyc01g005000.2.1",2
"85","Solyc01g005060.2.1",3
"86","Solyc01g005100.2.1",3
"87","Solyc01g005130.2.1",2
"88","Solyc01g005280.2.1",6
"89","Solyc01g005290.2.1",6
"90","Solyc01g005370.2.1",1
"91","Solyc01g005410.2.1",1
"92","Solyc01g005450.2.1",1
"93","Solyc01g005600.2.1",4
"94","Solyc01g005610.2.1",3
"95","Solyc01g005640.2.1",2
"96","Solyc01g005780.1.1",5
"97","Solyc01g005790.1.1",1
"98","Solyc01g005850.1.1",1
"99","Solyc01g005970.2.1",4
"100","Solyc01g006110.2.1",5
"101","Solyc01g006250.1.1",5
"102","Solyc01g006260.2.1",3
"103","Solyc01g006320.2.1",1
"104","Solyc01g006330.2.1",2
"105","Solyc01g006340.2.1",4
"106","Solyc01g006390.2.1",4
"107","Solyc01g006400.2.1",3
"108","Solyc01g006490.2.1",4
"109","Solyc01g006670.2.1",3
"110","Solyc01g006740.2.1",6
"111","Solyc01g006990.2.1",3
"112","Solyc01g007230.2.1",3
"113","Solyc01g007240.2.1",1
"114","Solyc01g007250.2.1",3
"115","Solyc01g007510.1.1",3
"116","Solyc01g007680.1.1",1
"117","Solyc01g007690.2.1",4
"118","Solyc01g007700.2.1",4
"119","Solyc01g007710.2.1",4
"120","Solyc01g007730.2.1",2
"121","Solyc01g007760.2.1",5
"122","Solyc01g007870.2.1",5
"123","Solyc01g007880.2.1",2
"124","Solyc01g008070.2.1",2
"125","Solyc01g008400.2.1",6
"126","Solyc01g008480.2.1",4
"127","Solyc01g008520.2.1",4
"128","Solyc01g008530.2.1",5
"129","Solyc01g008660.2.1",6
"130","Solyc01g008730.2.1",1
"131","Solyc01g008780.2.1",4
"132","Solyc01g008800.1.1",2
"133","Solyc01g008830.1.1",1
"134","Solyc01g008850.2.1",2
"135","Solyc01g008930.2.1",3
"136","Solyc01g008970.2.1",4
"137","Solyc01g008980.2.1",6
"138","Solyc01g009110.2.1",2
"139","Solyc01g009240.2.1",2
"140","Solyc01g009390.2.1",1
"141","Solyc01g009670.2.1",3
