GeneID	GOID
Solyc00g005000.2.1	GO:0006508
Solyc00g005440.1.1	GO:0003735
Solyc00g005460.1.1	GO:0005622
Solyc00g005470.1.1	GO:0005622
Solyc00g005480.1.1	GO:0043687
Solyc00g005840.2.1	GO:0016671
Solyc00g005870.1.1	GO:0008270
Solyc00g005900.1.1	GO:0019898
Solyc00g006050.1.1	GO:0055114
Solyc00g006480.1.1	GO:0008152
Solyc00g006550.1.1	GO:0008152
Solyc00g006560.1.1	GO:0080044
Solyc00g006800.2.1	GO:0008152
Solyc00g006800.2.1	GO:0005975
Solyc00g006800.2.1	GO:0005737
Solyc00g006810.2.1	GO:0005528
Solyc00g006820.2.1	GO:0042936
Solyc00g007010.2.1	GO:0004439
Solyc00g007010.2.1	GO:0043812
Solyc00g007060.2.1	GO:0005515
Solyc00g007060.2.1	GO:0004674
Solyc00g007070.2.1	GO:0017025
Solyc00g007070.2.1	GO:0003729
Solyc00g007100.2.1	GO:0004674
Solyc00g007110.2.1	GO:0005509
Solyc00g007120.2.1	GO:0005509
Solyc00g007130.2.1	GO:0015187
Solyc00g007180.1.1	GO:0016491
Solyc00g007190.2.1	GO:0004722
Solyc00g007200.2.1	GO:0016021
Solyc00g007220.2.1	GO:0008270
Solyc00g007230.1.1	GO:0006278
Solyc00g007250.1.1	GO:0003676
Solyc00g007250.1.1	GO:0015074
Solyc00g007260.2.1	GO:0006508
Solyc00g007270.2.1	GO:0005515
Solyc00g007270.2.1	GO:0043023
Solyc00g007290.1.1	GO:0006508
Solyc00g007300.2.1	GO:0019903
Solyc00g007450.1.1	GO:0008270
Solyc00g007570.1.1	GO:0005975
Solyc00g008120.1.1	GO:0006508
Solyc00g008680.2.1	GO:0005509
Solyc00g009020.2.1	GO:0008270
Solyc00g009020.2.1	GO:0050897
Solyc00g009020.2.1	GO:0005507
Solyc00g009030.1.1	GO:0055056
Solyc00g009040.2.1	GO:0008143
Solyc00g009040.2.1	GO:0003743
Solyc00g009060.2.1	GO:0005737
Solyc00g009060.2.1	GO:0009116
Solyc00g009090.2.1	GO:0004675
Solyc00g009100.2.1	GO:0003723
Solyc00g009110.2.1	GO:0004437
Solyc00g009120.2.1	GO:0008152
Solyc00g009130.2.1	GO:0008152
Solyc00g009140.2.1	GO:0008152
Solyc00g010540.1.1	GO:0006278
Solyc00g010750.1.1	GO:0005525
Solyc00g011180.1.1	GO:0005488
Solyc00g011550.1.1	GO:0006355
Solyc00g011560.1.1	GO:0005634
Solyc00g011660.1.1	GO:0006355
Solyc00g011870.1.1	GO:0008287
Solyc00g011870.1.1	GO:0003824
Solyc00g011890.2.1	GO:0004335
Solyc00g011890.2.1	GO:0009702
Solyc00g012310.1.1	GO:0006278
Solyc00g012640.1.1	GO:0003886
Solyc00g012640.1.1	GO:0008170
Solyc00g013130.2.1	GO:0055114
Solyc00g013140.1.1	GO:0055114
Solyc00g013180.1.1	GO:0055114
Solyc00g014800.1.1	GO:0005622
Solyc00g014830.2.1	GO:0055114
Solyc00g014980.1.1	GO:0008152
Solyc00g015720.1.1	GO:0016757
Solyc00g015730.1.1	GO:0005622
Solyc00g015740.1.1	GO:0055114
Solyc00g015750.1.1	GO:0035035
Solyc00g015770.1.1	GO:0045290
Solyc00g017210.1.1	GO:0005200
Solyc00g017220.1.1	GO:0003700
Solyc00g017220.1.1	GO:0042803
Solyc00g017230.1.1	GO:0005576
Solyc00g017230.1.1	GO:0009664
Solyc00g017880.1.1	GO:0006298
Solyc00g017900.1.1	GO:0006396
Solyc00g017910.1.1	GO:0008152
Solyc00g017920.1.1	GO:0005515
Solyc00g017930.1.1	GO:0009317
Solyc00g017930.1.1	GO:0016874
Solyc00g019620.1.1	GO:0005125
Solyc00g019730.1.1	GO:0016020
Solyc00g019740.1.1	GO:0000276
