Gene,Related Hormone,Function category,PMID
AT1G16540,abscisic acid,Hormone biosynthesis,11549764;12692318;
AT1G52340,abscisic acid,Hormone biosynthesis,12417697;12692318;8665840;
AT1G67080,abscisic acid,Hormone biosynthesis,17470058;
AT2G27150,abscisic acid,Hormone biosynthesis,11050171;12692318;
AT3G14440,abscisic acid,Hormone biosynthesis,11532178;
AT3G26090,abscisic acid,Hormone biosynthesis,16361523;14500984;
AT4G15560,abscisic acid,Hormone biosynthesis,11264287;
AT5G03280,abscisic acid,Hormone biosynthesis,10381874;15567852;
AT5G57740,abscisic acid,Hormone biosynthesis,20511490;
AT5G67030,abscisic acid,Hormone biosynthesis,11607209;11779861;12692318;
AT2G29090,abscisic acid,Hormone metabolism,15044947;
AT5G45340,abscisic acid,Hormone metabolism,16623881;15044947;
AT1G01360,abscisic acid,Hormone receptor,19874541;
AT1G64990,abscisic acid,Hormone receptor,19135895;
AT2G38310,abscisic acid,Hormone receptor,19874541;
AT2G40330,abscisic acid,Hormone receptor,19874541;
AT4G01026,abscisic acid,Hormone receptor,19874541;
AT4G17870,abscisic acid,Hormone receptor,19874541;
AT4G27630,abscisic acid,Hormone receptor,19135895;
AT4G27920,abscisic acid,Hormone receptor,19874541;
AT5G05440,abscisic acid,Hormone receptor,19874541;
AT5G13630,abscisic acid,Hormone receptor,17051210;
AT5G46790,abscisic acid,Hormone receptor,19874541;
AT5G53160,abscisic acid,Hormone receptor,19874541;
AAF67775,abscisic acid,Hormone signal transduction,12569131;
AT1G02205,abscisic acid,Hormone signal transduction,19819982;
AT1G04120,abscisic acid,Hormone signal transduction,19797057;
AT1G04710,abscisic acid,Hormone signal transduction,19785574;
AT1G06390,abscisic acid,Hormone signal transduction,10198112;11532176;
AT1G07420,abscisic acid,Hormone signal transduction,20200486;
AT1G08260,abscisic acid,Hormone signal transduction,19244142;
AT1G08920,abscisic acid,Hormone signal transduction,19901034;
AT1G09700,abscisic acid,Hormone signal transduction,11148283;
AT1G09950,abscisic acid,Hormone signal transduction,20212128;
AT1G15100,abscisic acid,Hormone signal transduction,19286935;
AT1G16060,abscisic acid,Hormone signal transduction,19390821;
AT1G18080,abscisic acid,Hormone signal transduction,19584117;
AT1G20780,abscisic acid,Hormone signal transduction,19309463;
AT1G21970,abscisic acid,Hormone signal transduction,12244265;
AT1G25490,abscisic acid,Hormone signal transduction,8641277;12417706;
AT1G28300,abscisic acid,Hormone signal transduction,12244265;
AT1G32640,abscisic acid,Hormone signal transduction,12509522;
AT1G34120,abscisic acid,Hormone signal transduction,17237190;
AT1G35515,abscisic acid,Hormone signal transduction,9401119;
AT1G35670,abscisic acid,Hormone signal transduction,17921317;
AT1G43160,abscisic acid,Hormone signal transduction,20193749;
AT1G48630,abscisic acid,Hormone signal transduction,19584117;
AT1G49430,abscisic acid,Hormone signal transduction,19819982;
AT1G50200,abscisic acid,Hormone signal transduction,19390821;
AT1G51500,abscisic acid,Hormone signal transduction,19819982;
AT1G51965,abscisic acid,Hormone signal transduction,20561255;
AT1G52920,abscisic acid,Hormone signal transduction,17347412;
AT1G56070,abscisic acid,Hormone signal transduction,12032361;
AT1G66600,abscisic acid,Hormone signal transduction,20487379;
AT1G69270,abscisic acid,Hormone signal transduction,9112773;15772289;
AT1G69935,abscisic acid,Hormone signal transduction,19704523;
AT1G72770,abscisic acid,Hormone signal transduction,14731256;
AT1G78590,abscisic acid,Hormone signal transduction,16856986;
AT2G13540,abscisic acid,Hormone signal transduction,11525733;
AT2G17290,abscisic acid,Hormone signal transduction,17032064;
AT2G18470,abscisic acid,Hormone signal transduction,19566594;
AT2G20180,abscisic acid,Hormone signal transduction,19556968;
AT2G22090,abscisic acid,Hormone signal transduction,12181571;
AT2G23430,abscisic acid,Hormone signal transduction,9753775;15749764;
AT2G26290,abscisic acid,Hormone signal transduction,7655506;
