"genotype" "gene" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "ssom$unit.classif" "ssom$distances"
"1" "tf2" "Solyc00g005050.2.1" 9.52573525929202 1.29697848692351 3.96377910765391 11.0248309687251 9.45763038364352 6.84258864232877 -1.26319704210723 -0.338856951227664 -0.86966885980473 0.398328456028434 0.701259013613756 1.37213538349743 -1.65639376809701 -1.34952726820107 0.303919564858955 -0.394056477337255 -0.644369079729441 -1.66533453693773e-15 33 0.0703701545998203
"2" "tf2" "Solyc00g005070.1.1" 16.1747739263126 14.2025961928541 158.811325852359 4.47981874606273 11.5423469510571 3.10766739538249 -0.1857292469886 -0.500802169926283 -0.298823084622028 -0.527211267859189 -0.509325125938547 2.02189089533465 -0.770518190300756 -0.71388219539421 -1.55034944401677 0.138574369394295 -1.32504154855803 -1.88737914186277e-15 18 0.00218345237714342
"3" "tf2" "Solyc00g005080.1.1" 11.7960480844545 7.78756919846041 15.4823295556157 8.51852745978849 11.4638716206945 7.04133586105731 0.501039599397865 -0.364107387657246 -0.740692355958583 -0.603682155333751 -0.615780667744599 1.82322296729631 -0.539616380654566 -0.343417351616014 -1.38541421836237 0.907367371979545 -1.46371973175178 -1.22124532708767e-15 18 0.0390532861289636
"4" "tf2" "Solyc00g005840.2.1" 13.5849171355865 44.2405788217503 7.50785743010054 19.32767921803 10.4522998884422 29.7087760263492 -0.238074572889583 -0.439933394320678 -0.532162837028323 2.03153628222831 -0.378113344126008 -0.443252133863714 -1.16208137296183 0.0363529782068136 0.25878480950111 0.651991173451896 1.98684987597051 -1.60982338570648e-15 25 0.0147068173438703
"5" "tf2" "Solyc00g005870.1.1" 6.11047178911882 0.529139521994693 37.6123822051538 1.4560895723767 2.34432617526463 1.56409942215704 -0.737208416974324 -0.625571325279845 -0.0797192088354134 -0.155667633884258 -0.375124629000985 1.97329121397482 -1.09455551822056 -0.981711266414819 -1.45360459990245 -0.344671964450121 -0.897912688218686 -2.33146835171283e-15 18 0.00824909555231648
"6" "tf2" "Solyc00g005880.1.1" 1.83994273297518 1.12358110517276 61.6388001374373 2.03581244046073 5.71122618833261 1.78741775359458 -0.831927836284099 -0.482070914154492 0.038081271304071 -0.060211042400258 -0.592453181210606 1.92858170274538 -1.16125407439397 -0.707489463549229 -1.57958727672615 -0.491987679894954 -0.765048678049071 -1.99840144432528e-15 18 0.0120131677647796
"7" "tf2" "Solyc00g006470.1.1" 465.981188181834 290.629944370734 91.6482964794338 289.66091581708 250.563212813792 118.95111430773 2.00239862321977 -0.152416085823927 -0.732307938945272 -0.438280552588842 -0.276387483706256 -0.403006562155468 1.27429590184943 0.444602155756842 0.048121888113905 2.03248371995456 -0.230625855542799 2.77555756156289e-16 10 0.0170181789005651
"8" "tf2" "Solyc00g006670.2.1" 5.33851128897235 3.90579069096168 1.01005639443944 4.79133006593083 5.39388811188598 0.316425084848019 2.02259350292032 -0.400047338741955 -0.61427544441724 -0.357295013114161 -0.198604214942725 -0.45237149170424 1.35913549082007 0.190040475894116 -0.00064531088348263 2.05585370799907 -0.0317540802168346 1.66533453693773e-16 10 0.0167044821672017
"9" "tf2" "Solyc00g006680.1.1" 505.459597856094 401.809263909545 97.0791702840498 320.869359517107 523.314577675243 108.547991492003 1.93647122718083 -0.454011865262509 -0.736819213881833 -0.438634522198286 0.208107050983917 -0.515112676822117 1.39825935264701 -0.138220953196605 0.401130901925626 2.01844427227454 -0.151145241503332 5.55111512312578e-17 10 0.0303886621698424
"10" "tf2" "Solyc00g006690.2.1" 34.9977598562337 21.0206762384574 13.9671028032968 21.7155147027529 19.8464743447428 6.33409714277555 2.00689027379233 -0.404614147773495 -0.686742644614796 -0.479877361638804 -0.140747093072127 -0.294909026693108 1.31531213233094 0.0977094481689093 -0.0214266155237138 2.06013410893916 -0.25056068626311 -1.11022302462516e-16 10 0.0176056371282651
"11" "tf2" "Solyc00g006800.2.1" 113.105671769042 141.83201019257 71.5409559186696 72.3354439965562 54.6199182015368 125.20936015036 -0.319614609043205 -0.682974854770411 -0.423500783973568 2.01214636908151 -0.167379669988738 -0.418676451305584 -1.0919813121237 -0.348100522697551 0.288117783435364 0.566874517305917 2.03927459758789 -1.94289029309402e-15 19 0.0287964683695642
"12" "tf2" "Solyc00g006810.2.1" 10.0078758135257 11.7187654476969 4.62169273348256 11.9040126039556 13.9037588819513 17.3495792730829 -0.934173695143751 1.90599838769133 -0.187208810429743 -0.545717493539936 0.138522424236142 -0.377420812814047 -0.00619178902844253 1.4437749366544 1.3093210242178 -1.28989165450591 -0.820546635228284 3.91353616180368e-15 27 0.0346408775045228
"13" "tf2" "Solyc00g007140.1.1" 6.45402460813104 15.9649196448838 2.98794650123361 4.15435285224845 3.46050660196192 5.49621603244434 -1.03699111978063 -0.886342233413974 -0.0234041071970298 0.133033539439242 0.0477709888924924 1.7659329320599 -1.19123034539117 -1.48545050661487 -1.05553701146698 -0.536100523011836 -0.511667072361667 -2.44249065417534e-15 17 0.0230966224214553
"14" "tf2" "Solyc00g008580.1.1" 49.5705919074477 14.9889206851983 4.33300335343727 25.7189413083003 28.6730508903516 11.8267657025328 1.93551892360656 0.0951939781070217 -0.832681976855993 -0.399632635364657 -0.208255212228154 -0.590143077264781 1.2462687011665 0.657870838859877 0.356996102838178 1.96697577164278 -0.218153023886133 1.16573417585641e-15 10 0.0146359456832845
"15" "tf2" "Solyc00g009760.2.1" 250.489546918278 232.844723961854 62.8599825966044 256.767336463726 184.366245111578 97.5985060449764 1.92810277753319 0.151823876501893 -0.85234208510651 -0.452721391622302 -0.269705148241492 -0.505158029064781 1.20580339137272 0.724526195341282 0.285746241973193 1.95358642897556 -0.322940039913636 9.99200722162641e-16 10 0.0266383969496329
"16" "tf2" "Solyc00g010530.1.1" 19.1384342747404 5.02878361147577 1.66666056705282 8.2148807749672 8.7391604849726 5.8321329610884 1.94692670455542 0.0687712335021741 -0.819152971095188 -0.35765553785581 -0.25520386460247 -0.583685564504131 1.22665356757607 0.669447838013893 0.300898905698147 1.98794540656796 -0.16760825525814 6.66133814775094e-16 10 0.0219380071317667
