itag3	M82.Inf	M82.Veg	M82.Leaf	M82.Root	M82.Sdling	M82.Stem	LA716.Inf	LA716.Veg	LA716.Leaf	LA716.Root	LA716.Sdling	LA716.Stem	p.raw.spe	p.raw.tis	p.raw.int	p.adj.spe	p.adj.tis	p.adj.int	A	FC_spe
Solyc12g049180.1.1	2.79E-11	2.79E-11	5.5	2.79E-11	2.79E-11	2.79E-11	2.79E-11	2.79E-11	55.5	3	2.79E-11	2.79E-11	5.01E-18	7.94E-20	7.26E-05	1.86E-12	5.88E-14	0.005445934	0.876718223	0.853289874
Solyc08g006860.2.1	0.5	5.60E-10	403.5	7.5	5.60E-10	5.60E-10	5.60E-10	0.5	9	5.60E-10	5.60E-10	5.60E-10	3.53E-16	4.08E-17	0.005457952	4.36E-11	1.01E-11	0.188905869	1.353275986	-1.404255106
Solyc04g014280.1.1	2.06E-10	2.06E-10	53	2.06E-10	2.06E-10	2.06E-10	2.06E-10	2.06E-10	164	4.5	2.06E-10	2.06E-10	5.00E-12	1.28E-16	0.007105734	3.64E-08	1.90E-11	0.234514156	1.298386778	0.678477722
Solyc11g011330.1.1	4.5	6	3922.5	106.5	3.000000006	1.5	0.5	3.5	5725.5	301	8	1	2.80E-07	1.15E-16	0.102863565	7.11E-05	1.90E-11	1	4.576790679	0.061970366
Solyc12g005710.1.1	5.60E-10	5.60E-10	57.5	2.5	5.60E-10	5.60E-10	5.60E-10	5.60E-10	143.5	4.5	5.60E-10	5.60E-10	1.20E-09	3.04E-15	0.942146643	1.35E-06	2.81E-10	1	1.442673079	0.326106277
Solyc11g067310.1.1	2.06E-10	2.06E-10	37	2.06E-10	2.06E-10	2.06E-10	2.06E-10	2.06E-10	32	2.5	2.06E-10	2.06E-10	0.219295158	5.12E-15	0.000103294	1	3.45E-10	0.007240564	1.00830638	0.267303588
Solyc09g082290.2.1	7.58E-11	7.58E-11	19.5	7.58E-11	7.58E-11	7.58E-11	7.58E-11	7.58E-11	40	2.5	7.58E-11	7.58E-11	7.29E-09	4.31E-15	0.000982891	5.05E-06	3.45E-10	0.045617945	0.960204911	0.467892487
Solyc01g099320.2.1	2.79E-11	2.79E-11	2.5	2.79E-11	2.79E-11	2.79E-11	2.79E-11	2.79E-11	10.5	2.79E-11	2.79E-11	2.79E-11	3.25E-11	5.07E-15	1	1.22E-07	3.45E-10	1	0.444243073	0.286034506
Solyc02g078100.2.1	6.5	1.13E-08	783	18	4	1.13E-08	0.5	0.5	689.5	21.5	1.13E-08	1.13E-08	0.034436514	6.59E-15	0.133557399	0.851474792	3.96E-10	1	2.848727651	-0.666363391
Solyc10g074840.1.1	2.06E-10	2.06E-10	21.5	2.06E-10	2.06E-10	2.06E-10	2.06E-10	2.06E-10	143.5	2.06E-10	2.06E-10	2.06E-10	5.64E-12	9.84E-15	1	3.91E-08	4.42E-10	1	0.972231565	0.447178764
Solyc01g108860.2.1	2	1	1154	25	3	1.13E-08	0.5	2.5	112	1.5	1	1.13E-08	7.78E-13	9.63E-15	0.180609499	9.42E-09	4.42E-10	1	2.582791989	-1.320775813
Solyc04g014290.1.1	1	0.5	290	8.5	0.5	4.14E-09	4.14E-09	3	594	16	4.14E-09	4.14E-09	4.26E-08	1.01E-14	0.417707534	1.80E-05	4.42E-10	1	2.408911382	0.283580142
Solyc03g097500.2.1	0.5	1.5	451.5	18	0.5	1	4.14E-09	3.5	459	17	4.14E-09	4.14E-09	0.815392015	1.26E-14	0.492346916	1	5.20E-10	1	2.645574555	-0.229369087
Solyc08g014610.2.1	1.5	1.5	290	10.5	1.13E-08	0.5	1.5	0.5	529	11	1.13E-08	1	4.87E-07	1.44E-14	0.534919709	0.000107959	5.39E-10	1	2.539913139	0.100740943
Solyc11g008560.1.1	5.60E-10	5.60E-10	40	1	5.60E-10	5.60E-10	5.60E-10	5.60E-10	81.5	3	5.60E-10	5.60E-10	6.73E-08	1.80E-14	0.954601237	2.50E-05	5.81E-10	1	1.226989519	0.334795035
Solyc01g066680.2.1	45	156.5	2	558.5	4.14E-09	75	21.5	138	4.14E-09	55.5	4.14E-09	60.5	4.28E-12	1.77E-14	3.10E-09	3.31E-08	5.81E-10	2.69E-06	4.42976183	-1.068361111
Solyc10g080060.1.1	7.58E-11	7.58E-11	6.5	7.58E-11	7.58E-11	7.58E-11	7.58E-11	7.58E-11	25	7.58E-11	7.58E-11	7.58E-11	2.56E-10	2.29E-14	1	4.76E-07	6.53E-10	1	0.633944193	0.298924854
Solyc05g051940.2.1	7.58E-11	7.58E-11	17	7.58E-11	7.58E-11	7.58E-11	7.58E-11	7.58E-11	1	7.58E-11	7.58E-11	7.58E-11	1.36E-12	3.36E-14	1	1.34E-08	9.23E-10	1	0.430827084	-0.528320834
Solyc11g020960.1.1	1663.5	8	41	78.5	31.5	155	114.5	3.5	2	5	2.5	6	1.72E-13	4.56E-14	0.399476952	3.26E-09	1.13E-09	1	4.640839788	-3.34624328
Solyc07g009080.2.1	2.79E-11	2.79E-11	3	2.79E-11	2.79E-11	2.79E-11	2.79E-11	2.79E-11	5	2.5	2.79E-11	2.79E-11	2.74E-09	4.51E-14	1.71E-07	2.44E-06	1.13E-09	4.91E-05	0.532693119	0.39871957
Solyc11g007370.1.1	5.60E-10	5.60E-10	35.5	5.60E-10	5.60E-10	5.60E-10	5.60E-10	5.60E-10	123	7	5.60E-10	5.60E-10	3.79E-10	4.42E-14	0.021584915	6.30E-07	1.13E-09	0.58195935	1.26200174	0.794061958
Solyc05g052420.1.1	2.06E-10	2.06E-10	26	3	2.06E-10	2.06E-10	2.06E-10	2.06E-10	19.5	2.5	2.06E-10	2.06E-10	0.000879936	6.35E-14	0.997684937	0.041597747	1.52E-09	1	1.076649536	-0.098330096
Solyc01g095830.2.1	7.58E-11	7.58E-11	12	7.58E-11	7.58E-11	7.58E-11	7.58E-11	7.58E-11	15	7.58E-11	7.58E-11	7.58E-11	0.008136638	7.10E-14	1	0.262219769	1.65E-09	1	0.64170331	0.049926714
Solyc06g075630.2.1	3	1	457	24.5	3.5	0.5	1.5	1	427	30	1.13E-08	1.13E-08	0.348189557	7.79E-14	0.311615698	1	1.75E-09	1	2.940342338	-0.541487535
Solyc12g056960.1.1	8	33.5	161	15.5	23	15.5	7	27.5	136.5	22	8.5	30.5	0.025468363	1.04E-13	7.49E-05	0.665900088	2.21E-09	0.005579032	4.664749785	-0.101183831
Solyc09g075870.1.1	2.5	1	153.5	8.5	4.14E-09	1.5	4.14E-09	1	234	17	2	4.14E-09	3.86E-05	1.15E-13	0.016802534	0.00327699	2.36E-09	0.475527965	2.440006502	-0.002878184
Solyc06g068220.2.1	86	629.5	36.5	332	59	459	96.5	859.5	20	377	73.5	471	0.00043034	1.26E-13	0.026082357	0.023136134	2.52E-09	0.679102404	7.376383906	0.051476559
Solyc05g005160.2.1	312.5	116	413	160.5	494	187.5	462.5	225.5	979	328	518	303	5.01E-12	1.89E-13	1.41E-07	3.64E-08	3.40E-09	4.29E-05	8.328930151	0.757437272
Solyc01g090120.2.1	3	6.5	444	17	38.5	6	2.000000002	4	835	39	36	5.5	1.51E-06	1.86E-13	0.165391765	0.000255345	3.40E-09	1	4.402640308	0.143409686
Solyc02g014220.2.1	1	4.14E-09	297.5	9.5	4.14E-09	4.14E-09	1	4.14E-09	440	13.5	1	0.5	0.000175194	1.93E-13	0.889253175	0.011061487	3.40E-09	1	2.320123576	0.435612298
Solyc01g067300.2.1	1	2.5	258.5	20	6	1.13E-08	1.13E-08	1.5	571	23	1	1.13E-08	4.03E-07	2.30E-13	0.057587939	9.39E-05	3.87E-09	1	2.841114998	-0.326642674
Solyc01g060260.2.1	0.5	1.52E-09	63.5	2.5	1.52E-09	1.52E-09	0.5	0.5	65.5	3	1.52E-09	1.52E-09	0.561028393	2.96E-13	0.595389584	1	4.88E-09	1	1.469062677	0.136943793
Solyc08g068130.1.1	4	3	31	4	4.5	2.5	3	8.32E-08	2271.5	192.5	4	1.5	1.11E-12	3.54E-13	0.008048912	1.17E-08	5.48E-09	0.259833311	3.358396115	1.413244652
Solyc07g049460.2.1	1	0.5	115.5	4	4.14E-09	1	4.14E-09	1.5	150	7.5	4.14E-09	4	0.001906565	3.55E-13	0.177599881	0.079170714	5.48E-09	1	2.145066711	0.366441173
Solyc06g062380.2.1	2	1	425	26	22.5	6.5	7.5	3.5	44	5.5	33.5	8	4.10E-11	3.53E-13	4.27E-07	1.43E-07	5.48E-09	9.78E-05	3.772014099	-0.301318159
Solyc07g009290.2.1	7.58E-11	7.58E-11	14.5	7.58E-11	7.58E-11	7.58E-11	7.58E-11	7.58E-11	10.5	2	7.58E-11	7.58E-11	0.071364017	3.96E-13	4.14E-05	1	5.98E-09	0.003460518	0.755226731	0.192388024
Solyc00g072400.2.1	0.5	4.14E-09	329.5	3.5	4.14E-09	4.14E-09	4.14E-09	4.14E-09	221	4	4.14E-09	4.14E-09	0.000369711	4.13E-13	0.939812838	0.020394411	6.12E-09	1	1.769978164	-0.167841666
Solyc03g083870.2.1	1	4.14E-09	190.5	5	4.14E-09	4.14E-09	0.5	4.14E-09	416	11.5	4.14E-09	4.14E-09	5.72E-07	4.23E-13	0.970674588	0.000122105	6.14E-09	1	2.008240449	0.29442653
Solyc12g056260.1.1	2.06E-10	2.06E-10	23.5	2.06E-10	2.06E-10	2.06E-10	2.06E-10	2.06E-10	52	2.06E-10	2.06E-10	2.06E-10	8.46E-07	5.05E-13	1	0.000164263	6.92E-09	1	0.861885858	0.185535102
Solyc03g115960.2.1	0.5	1.52E-09	88	4.5	1.52E-09	1.52E-09	1.52E-09	1.5	217	4.5	1.52E-09	1.52E-09	1.92E-07	5.10E-13	0.2275296	5.37E-05	6.92E-09	1	1.755805967	0.338236081
Solyc08g074690.2.1	4.14E-09	4.14E-09	279.5	5.5	4.14E-09	4.14E-09	0.5	0.5	89	2.5	4.14E-09	4.14E-09	1.90E-08	5.14E-13	0.458297712	1.01E-05	6.92E-09	1	1.691785811	-0.227193945
Solyc03g005210.2.1	1	1	155	6.5	1	4.14E-09	1.5	1	110.5	4.5	4.14E-09	0.5	0.00096072	5.26E-13	0.386372834	0.04478248	6.96E-09	1	2.113292912	-0.170845117
Solyc08g068190.2.1	0.5	3.06E-08	87.5	3	5	0.5	8.5	4	465.5	32	3.5	3	1.57E-10	5.58E-13	0.056151302	3.45E-07	7.26E-09	1	2.989366758	1.904569151
Solyc08g079720.2.1	0.5	5.60E-10	68.5	4.5	5.60E-10	5.60E-10	5.60E-10	5.60E-10	53	6	5.60E-10	3	0.042607972	6.88E-13	0.004070632	1	8.64E-09	0.147835618	1.643798135	0.233151205
Solyc04g014320.1.1	0.5	3.5	1183.5	17.5	8.32E-08	1	2.5	7.5	2331	79.5	1	8.32E-08	2.54E-06	7.06E-13	0.772264819	0.000382045	8.72E-09	1	3.465624192	0.873113894
Solyc01g015080.2.1	0.5	4.14E-09	374	11	4.14E-09	4.14E-09	4.14E-09	4.14E-09	66	1	4.14E-09	4.14E-09	5.22E-10	8.01E-13	0.971371001	7.58E-07	9.42E-09	1	1.648896752	-0.942430432
Solyc09g089830.2.1	1.52E-09	1.52E-09	108	4	1.52E-09	1.52E-09	1.52E-09	1.52E-09	93	3.5	1.52E-09	1.52E-09	0.09614676	8.12E-13	0.999999996	1	9.42E-09	1	1.484552191	-0.060933094
Solyc04g005620.2.1	4.14E-09	5.5	118	30	4.14E-09	0.5	1	1.5	162.5	10.5	4.14E-09	2.5	0.073835572	1.09E-12	0.000938884	1	1.17E-08	0.043900485	2.511700676	-0.021404083
Solyc05g054780.1.1	4.14E-09	4.14E-09	246.5	31	1	1	4.14E-09	0.5	229.5	34	1	4.14E-09	0.505505623	1.09E-12	0.70460797	1	1.17E-08	1	2.459512766	-0.064736043
